Zip,City,State,Latitude,Longitude
80512,Bellvue,CO,40.7003,-105.6488
80475,Shawnee,CO,39.4395,-105.6030
80447,Grand Lake,CO,40.2383,-105.8469
80034,Wheat Ridge,CO,39.5220,-105.2239
81331,Pleasant View,CO,37.5902,-108.7700
80757,Woodrow,CO,39.8369,-103.6116
80020,Broomfield,CO,39.9340,-105.0545
80424,Breckenridge,CO,39.4789,-106.0375
80820,Guffey,CO,38.7838,-105.6362
80257,Denver,CO,39.7388,-104.4083
81325,Egnar,CO,38.0271,-108.8316
81650,Rifle,CO,39.6032,-107.8976
80044,Aurora,CO,39.7388,-104.4083
80205,Denver,CO,39.7590,-104.9668
81638,Hamilton,CO,40.2984,-107.5176
80256,Denver,CO,39.7474,-104.9928
81653,Slater,CO,40.9298,-107.1889
80805,Bethune,CO,39.3020,-102.4436
81649,Red Cliff,CO,39.4519,-106.3240
80497,Silverthorne,CO,39.6411,-106.1080
80226,Denver,CO,39.7122,-105.0892
80262,Denver,CO,39.7310,-104.9384
80228,Denver,CO,39.6883,-105.1456
81641,Meeker,CO,40.0428,-107.9216
81007,Pueblo,CO,38.3336,-104.7433
80322,Boulder,CO,40.0878,-105.3735
80106,Elbert,CO,39.1487,-104.5635
80166,Littleton,CO,39.7388,-104.4083
81039,Fowler,CO,38.0029,-104.0345
80758,Wray,CO,40.0647,-102.2134
80550,Windsor,CO,40.4800,-104.9023
80510,Allenspark,CO,40.2239,-105.5242
81310,Durango,CO,37.2821,-107.8566
80128,Littleton,CO,39.5768,-105.0788
80308,Boulder,CO,40.0277,-105.3868
80310,Boulder,CO,40.0878,-105.3735
81232,Hillside,CO,38.2855,-105.6425
80005,Arvada,CO,39.8433,-105.1190
80650,Pierce,CO,40.6372,-104.7585
81055,La Veta,CO,37.4998,-105.0294
81636,Battlement Mesa,CO,39.4305,-108.0239
80440,Fairplay,CO,39.2211,-106.0065
81626,Craig,CO,40.6677,-107.7833
80292,Denver,CO,39.7474,-104.9928
80134,Parker,CO,39.5086,-104.7803
80212,Denver,CO,39.7703,-105.0469
81431,Redvale,CO,38.1535,-108.4392
81034,Crowley,CO,38.3179,-103.7800
80236,Denver,CO,39.6525,-105.0409
81522,Gateway,CO,38.7151,-109.0109
80138,Parker,CO,39.5232,-104.7061
81092,Wiley,CO,38.1792,-102.7516
80621,Fort Lupton,CO,40.0904,-104.7972
81201,Salida,CO,38.5335,-106.0347
80909,Colorado Springs,CO,38.8515,-104.7786
81064,Pritchett,CO,37.3155,-102.9546
82063,Jelm,CO,40.9330,-105.8771
80466,Nederland,CO,39.9645,-105.5081
80477,Steamboat Springs,CO,40.3482,-106.9269
80914,Colorado Springs,CO,38.8192,-104.7012
81610,Dinosaur,CO,40.3345,-108.7627
80977,Colorado Springs,CO,38.8247,-104.5620
80723,Brush,CO,40.2305,-103.6082
81003,Pueblo,CO,38.2811,-104.6257
80452,Idaho Springs,CO,39.7374,-105.5605
81013,Pueblo,CO,38.1286,-104.5523
81029,Campo,CO,37.1367,-102.5296
81244,Rockvale,CO,38.3531,-105.1864
80815,Flagler,CO,39.3490,-103.0710
81082,Trinidad,CO,37.1919,-104.4781
81155,Villa Grove,CO,38.3277,-106.1448
80201,Denver,CO,39.7263,-104.8568
80109,Castle Rock,CO,39.3809,-104.8995
81123,Blanca,CO,37.4193,-105.5802
80742,New Raymer,CO,40.6039,-103.8781
80162,Littleton,CO,39.5220,-105.2239
81045,Haswell,CO,38.4531,-103.1697
81049,Kim,CO,37.2426,-103.4711
80014,Aurora,CO,39.6656,-104.8342
81012,Pueblo,CO,38.1286,-104.5523
80745,Padroni,CO,40.8259,-103.2767
80936,Colorado Springs,CO,38.8247,-104.5620
